round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,340,340,140,140,340,340,
2,500,480,140,100,460,480,
3,640,600,120,80,560,580,
4,740,720,100,80,660,680,
5,860,800,80,80,760,740,
6,940,900,80,80,820,780,
7,1040,940,80,80,900,800,
8,1120,1020,40,60,940,860,
9,1200,0,40,60,980,960,
10,1280,0,40,60,1020,1040,
11,1340,0,40,60,1040,1060,
12,1360,0,40,60,0,0,
13,0,0,40,40,0,0,
14,0,0,40,40,0,0,
15,0,0,40,40,0,0,
16,0,0,20,40,0,0,
17,0,0,20,40,0,0,
18,0,0,20,40,0,0,
19,0,0,20,40,0,0,
20,0,0,20,40,0,0,
21,0,0,20,40,0,0,
22,0,0,20,40,0,0,
23,0,0,20,20,0,0,
24,0,0,20,0,0,0,
25,0,0,20,0,0,0,
26,0,0,20,0,0,0,
27,0,0,20,0,0,0,
28,0,0,20,0,0,0,
29,0,0,20,0,0,0,
30,0,0,20,0,0,0,
31,0,0,20,0,0,0,
32,0,0,20,0,0,0,
33,0,0,20,0,0,0,
34,0,0,20,0,0,0,
35,0,0,20,0,0,0,
36,0,0,20,0,0,0,
37,0,0,20,0,0,0,
38,0,0,20,0,0,0,
39,0,0,20,0,0,0,
40,0,0,20,0,0,0,
41,0,0,20,0,0,0,
42,0,0,20,0,0,0,
43,0,0,20,0,0,0,
44,0,0,20,0,0,0,
45,0,0,20,0,0,0,
46,0,0,20,0,0,0,
47,0,0,20,0,0,0,
48,0,0,20,0,0,0,
49,0,0,20,0,0,0,
50,0,0,20,0,0,0,
51,0,0,20,0,0,0,
