round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,360,380,160,180,380,380,
2,500,520,140,160,520,520,
3,640,640,140,160,640,640,
4,720,780,140,140,760,760,
5,840,880,120,120,880,880,
6,1000,940,80,80,1000,1000,
7,1100,1040,80,80,1140,1140,
8,1180,1120,80,60,1240,1240,
9,1280,1180,60,60,1340,1340,
10,1360,1260,60,60,1460,1460,
11,1420,1360,60,40,1500,1500,
12,1520,1440,60,40,1540,1540,
13,1620,1520,40,40,1600,1560,
14,1640,1600,40,20,1660,1640,
15,1720,1660,40,0,1700,1720,
16,1780,1720,40,0,1760,1800,
17,1860,0,40,0,1840,1880,
18,1900,0,40,0,1920,1980,
19,1940,0,40,0,1960,2100,
20,2000,0,40,0,2020,2160,
21,2060,0,40,0,2080,2240,
22,2080,0,40,0,2140,2280,
23,2100,0,40,0,2180,2300,
24,2140,0,40,0,2240,0,
25,0,0,40,0,2260,0,
26,0,0,40,0,0,0,
27,0,0,40,0,0,0,
28,0,0,40,0,0,0,
29,0,0,20,0,0,0,
30,0,0,20,0,0,0,
31,0,0,20,0,0,0,
