round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,360,380,160,180,380,380,
2,500,520,140,160,520,520,
3,640,660,140,160,640,640,
4,720,780,140,160,760,760,
5,840,860,120,120,860,880,
6,1000,920,80,80,940,1000,
7,1100,1000,80,80,1080,1120,
8,1180,1100,80,40,1180,1220,
9,1280,1140,60,40,1280,1320,
10,1360,1160,60,20,1340,1360,
11,1420,1240,60,20,1460,1420,
12,1520,1260,60,20,1520,1540,
13,1620,1340,40,20,1620,1600,
14,1640,1380,40,0,1740,1660,
15,1720,1480,40,0,1820,1760,
16,1780,1520,40,0,1920,1820,
17,1860,1600,40,0,1940,1840,
18,1900,0,40,0,1960,1880,
19,1940,0,40,0,1980,1900,
20,2000,0,40,0,2000,0,
21,2060,0,40,0,2040,0,
22,2080,0,40,0,2120,0,
23,2100,0,40,0,2160,0,
24,2140,0,40,0,2240,0,
25,0,0,40,0,2260,0,
26,0,0,40,0,2280,0,
27,0,0,40,0,0,0,
28,0,0,40,0,0,0,
29,0,0,20,0,0,0,
30,0,0,20,0,0,0,
31,0,0,20,0,0,0,
