round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,360,380,160,180,380,380,
2,500,520,140,140,520,520,
3,640,660,140,140,640,640,
4,720,780,140,120,760,760,
5,840,860,120,100,860,880,
6,1000,920,80,100,940,1000,
7,1100,1060,80,100,1080,1140,
8,1180,1140,80,80,1180,1240,
9,1280,1200,60,60,1280,1340,
10,1360,1260,60,40,1360,1460,
11,1420,1340,60,40,1480,1500,
12,1520,1380,60,40,1580,1540,
13,1620,1460,40,40,1600,1580,
14,1640,1560,40,40,1640,1620,
15,1720,1660,40,40,1660,0,
16,1780,1700,40,40,0,0,
17,1860,1720,40,40,0,0,
18,1900,1800,40,20,0,0,
19,1940,1880,40,0,0,0,
20,2000,0,40,0,0,0,
21,2060,0,40,0,0,0,
22,2080,0,40,0,0,0,
23,2100,0,40,0,0,0,
24,2140,0,40,0,0,0,
25,0,0,40,0,0,0,
26,0,0,40,0,0,0,
27,0,0,40,0,0,0,
28,0,0,40,0,0,0,
29,0,0,20,0,0,0,
30,0,0,20,0,0,0,
31,0,0,20,0,0,0,
