round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,360,380,160,180,380,380,
2,500,520,140,160,520,520,
3,640,640,140,160,640,640,
4,720,780,140,140,760,760,
5,840,880,120,120,880,880,
6,1000,940,80,80,1000,1000,
7,1100,1060,80,80,1140,1080,
8,1180,1140,80,60,1240,1200,
9,1280,1200,60,60,1340,1320,
10,1360,1300,60,60,1460,1380,
11,1420,1420,60,60,1500,1400,
12,1520,1480,60,60,1540,1480,
13,1620,1500,40,60,1560,1600,
14,1640,1640,40,60,1640,1640,
15,1720,0,40,40,1720,1660,
16,1780,0,40,40,1780,1740,
17,1860,0,40,40,1860,1780,
18,1900,0,40,40,1940,1800,
19,1940,0,40,40,2000,0,
20,2000,0,40,40,2080,0,
21,2060,0,40,40,2120,0,
22,2080,0,40,40,2140,0,
23,2100,0,40,40,0,0,
24,2140,0,40,40,0,0,
25,0,0,40,40,0,0,
26,0,0,40,40,0,0,
27,0,0,40,40,0,0,
28,0,0,40,40,0,0,
29,0,0,20,40,0,0,
30,0,0,20,40,0,0,
31,0,0,20,40,0,0,
32,0,0,0,40,0,0,
33,0,0,0,40,0,0,
34,0,0,0,20,0,0,
35,0,0,0,20,0,0,
36,0,0,0,20,0,0,
37,0,0,0,20,0,0,
38,0,0,0,20,0,0,
39,0,0,0,20,0,0,
40,0,0,0,20,0,0,
41,0,0,0,20,0,0,
42,0,0,0,20,0,0,
