round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,360,380,160,180,380,380,
2,500,520,140,160,520,520,
3,640,640,140,160,640,640,
4,720,760,140,160,760,760,
5,840,880,120,140,880,880,
6,1000,980,80,80,1000,1000,
7,1100,1060,80,60,1140,1140,
8,1180,1160,80,60,1240,1240,
9,1280,1260,60,40,1320,1340,
10,1360,1380,60,40,1400,1460,
11,1420,1440,60,20,1500,1520,
12,1520,1500,60,20,1520,1580,
13,1620,1540,40,20,1600,1640,
14,1640,1640,40,20,1640,1680,
15,1720,1660,40,20,1700,1700,
16,1780,1740,40,0,1760,1720,
17,1860,1760,40,0,1860,1800,
18,1900,1800,40,0,0,1840,
19,1940,1820,40,0,0,1860,
20,2000,1860,40,0,0,0,
21,2060,1880,40,0,0,0,
22,2080,0,40,0,0,0,
23,2100,0,40,0,0,0,
24,2140,0,40,0,0,0,
25,0,0,40,0,0,0,
26,0,0,40,0,0,0,
27,0,0,40,0,0,0,
28,0,0,40,0,0,0,
29,0,0,20,0,0,0,
30,0,0,20,0,0,0,
31,0,0,20,0,0,0,
