round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,140,360,
2,560,560,180,180,100,480,
3,740,740,180,180,60,640,
4,920,920,180,180,40,760,
5,1080,1080,180,180,40,900,
6,1232,1240,180,180,0,960,
7,1392,1400,160,180,0,1080,
8,1552,1560,160,126,0,1120,
9,1695,1702,142,100,0,1280,
10,1835,1842,83,60,0,1340,
11,1977,1971,60,48,0,0,
12,2079,2074,56,40,0,0,
13,2165,2154,22,20,0,0,
14,2245,2216,20,20,0,0,
15,2310,2256,0,6,0,0,
16,2365,2281,0,0,0,0,
17,2422,2291,0,0,0,0,
18,0,2312,0,0,0,0,
19,0,2314,0,0,0,0,
