round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,140,360,
2,560,560,180,180,80,480,
3,740,720,180,180,40,640,
4,920,880,180,180,40,780,
5,1080,1040,180,180,20,920,
6,1260,1200,180,180,20,1040,
7,1420,1360,166,180,20,1120,
8,1561,1520,100,160,20,1240,
9,1701,1660,82,120,20,1360,
10,1844,1800,64,76,20,1400,
11,1937,1960,40,60,20,1460,
12,2017,2118,40,40,20,1480,
13,2083,2224,21,40,20,1500,
14,2123,2328,20,40,20,1560,
15,2163,2428,20,20,20,0,
16,2205,2511,0,20,20,0,
17,2225,2574,0,20,20,0,
18,2237,2616,0,20,20,0,
19,0,2662,0,20,20,0,
20,0,2697,0,20,20,0,
21,0,2747,0,0,20,0,
22,0,2806,0,0,20,0,
23,0,2831,0,0,0,0,
24,0,2841,0,0,0,0,
