round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,140,360,
2,560,560,180,180,80,480,
3,740,740,180,180,40,600,
4,900,920,180,180,40,740,
5,1060,1080,180,180,40,820,
6,1200,1220,180,180,40,960,
7,1360,1380,160,160,40,1100,
8,1520,1540,160,160,40,1160,
9,1660,1680,140,140,20,1200,
10,1780,1820,80,65,20,1260,
11,1900,1960,62,25,20,1380,
12,2020,2100,53,20,20,1420,
13,2120,2160,20,0,0,1520,
14,2280,2200,20,0,0,1620,
15,2318,2222,0,0,0,1680,
16,2358,2242,0,0,0,1720,
17,2418,2262,0,0,0,1740,
18,2438,2280,0,0,0,0,
19,2458,2300,0,0,0,0,
