round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,320,
2,560,560,180,180,440,400,
3,720,720,160,160,540,440,
4,880,860,160,160,600,460,
5,1040,1000,160,160,680,0,
6,1160,1140,142,160,720,0,
7,1300,1300,120,141,0,0,
8,1400,1440,80,121,0,0,
9,1480,1580,41,100,0,0,
10,1560,1720,40,52,0,0,
11,1610,1809,40,40,0,0,
12,1630,1929,40,40,0,0,
13,1670,2029,40,40,0,0,
14,1683,2129,20,40,0,0,
15,1723,2209,20,40,0,0,
16,1726,2269,20,20,0,0,
17,0,2329,20,20,0,0,
18,0,2409,20,20,0,0,
19,0,2429,20,20,0,0,
20,0,2469,20,20,0,0,
21,0,2509,20,14,0,0,
22,0,2549,20,0,0,0,
23,0,2609,20,0,0,0,
24,0,0,20,0,0,0,
25,0,0,14,0,0,0,
