round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,320,
2,560,560,180,180,440,400,
3,720,720,160,160,520,420,
4,880,880,160,160,600,480,
5,1040,1020,160,160,660,500,
6,1200,1180,160,160,720,0,
7,1360,1320,160,129,760,0,
8,1506,1480,106,91,780,0,
9,1612,1640,60,80,0,0,
10,1692,1780,60,60,0,0,
11,1772,1920,60,60,0,0,
12,1832,2080,60,60,0,0,
13,1895,2181,53,40,0,0,
14,1935,2301,40,32,0,0,
15,1986,2404,40,20,0,0,
16,2058,2464,35,20,0,0,
17,2104,2484,20,20,0,0,
18,2127,2504,0,20,0,0,
19,2147,2544,0,20,0,0,
20,2174,2584,0,20,0,0,
21,0,2606,0,3,0,0,
22,0,2610,0,0,0,0,
23,0,2650,0,0,0,0,
24,0,2690,0,0,0,0,
25,0,2710,0,0,0,0,
26,0,2722,0,0,0,0,
